CycleID,Total_ms,Capture_ms,Wifi_ms,Upload_ms,RSSI_dBm
000342024200-00000188,12909,3024,2136,6175,-33
000342024200-00000189,13194,3094,2060,6633,-31
000342024200-00000190,12998,3063,2059,6409,-31
000342024200-00000191,13318,3084,2062,5285,-31
000342024200-00000192,12094,3094,2562,4671,-30
000342024200-00000193,11544,3092,2061,4812,-30
000342024200-00000194,12524,3090,2060,5542,-31
000342024200-00000195,11902,3103,2058,5078,-31
000342024200-00000196,13377,3087,2060,6551,-30
000342024200-00000197,12336,3115,2066,5308,-30
000342024200-00000198,12779,3117,2073,5864,-30
000342024200-00000199,13836,3110,2059,6880,-30
000342024200-00000200,14037,3216,2061,6809,-30
000342024200-00000201,12774,3110,2059,5763,-31
000342024200-00000202,12968,3131,2059,5624,-30
000342024200-00000203,13842,3150,2060,6894,-30
